Date,Symbol,Action,Entry,Exit,StopLoss,Target,Quantity,PNL,Strategy,Confidence,AI Score,Market Regime,Reason,Result
2026-07-19 13:40:40,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 13:40:56,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 13:41:50,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 13:44:21,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 13:44:37,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 13:45:22,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 13:47:46,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 13:48:02,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 22:34:32,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 22:35:17,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 22:35:41,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 22:36:02,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-19 22:54:08,^NSEI,BUY,24343.650390625,0,24323.650390625,24383.650390625,100,0,AI Combo,60,95,BULLISH,HOLD,OPEN
2026-07-20 11:01:24,^NSEI,BUY,24222.849609375,0,24202.849609375,24262.849609375,100,0,AI Combo,90,15,BEARISH,BUY,OPEN
2026-07-20 11:01:38,^NSEI,BUY,24222.849609375,0,24202.849609375,24262.849609375,100,0,AI Combo,90,15,BEARISH,BUY,OPEN
2026-07-20 11:01:53,^NSEI,BUY,24224.0,0,24204.0,24264.0,100,0,AI Combo,90,15,BEARISH,BUY,OPEN
2026-07-20 17:26:51,^NSEI,BUY,24239.5,0,24219.5,24279.5,100,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:27:09,^NSEI,BUY,24239.5,0,24219.5,24279.5,100,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:27:25,^NSEI,BUY,24239.5,0,24219.5,24279.5,100,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:27:38,^NSEI,BUY,24239.5,0,24219.5,24279.5,100,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:32:15,^NSEI,BUY,24239.5,0,24219.5,24279.5,100,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:35:58,^NSEI,BUY,24239.5,0,24219.5,24279.5,100,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:35:59,^NSEI,BUY,24239.5,0,24219.5,24279.5,100,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:36:23,^NSEI,BUY,24239.5,0,24219.5,24279.5,100,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:36:36,^NSEI,BUY,24239.5,0,24219.5,24279.5,100,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:46:04,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 17:58:25,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 22:09:26,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-20 22:54:40,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,WIN
2026-07-20 23:30:33,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,WIN
2026-07-20 23:40:14,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,WIN
2026-07-20 23:40:33,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,WIN
2026-07-20 23:50:13,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,WIN
2026-07-20 23:50:33,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,WIN
2026-07-20 23:51:07,^NSEI,BUY,24239.5,0,24219.5,24279.5,2,0,AI Combo,95,85,BULLISH,BUY,WIN
2026-07-25 19:43:06,^NSEI,BUY,23787.0,0,23767.0,23827.0,2,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-26 17:20:57,^NSEI,BUY,23787.0,0,23767.0,23827.0,2,0,AI Combo,95,85,BULLISH,BUY,OPEN
2026-07-26 18:29:49,^NSEI,BUY,23787.0,0,23767.0,23827.0,2,0,AI Combo,95,85,BULLISH,BUY,OPEN
